app,link
典学,https://zjh.zju.edu.cn/
校园数字医疗,https://xyszyl.zju.edu.cn/medical/h5/#/home
电子校园卡,https://yqfkgl.zju.edu.cn/_web/_customizes/ykt/index2.jsp
访客预约,https://zju.aliwork.com/APP_X61OS9ZGQB25TPMNB7VP/workbench/FORM-L8966281JR480013F4L2J813R2XR2QGAOWXDL3?corpid=ding2c6bcab1e41b0242&ddtab=true
启真在线,https://qzonline.zju.edu.cn/hom/uni-mobile/
一站式科研导航,https://kydh.zju.edu.cn/kywap/#/pages/login/login
IT服务台,https://zju.aliwork.com/APP_WHRROUNXUZY3CKNH2EYB/preview/FORM-CED39E10BBEB4954A13413A3138FE72E8T14?corpid=ding2c6bcab1e41b0242&ddtab=true
便捷就医,https://bjjyygb.zju.edu.cn/yyghZdd/app-mobile/
邮件,http://mail.zju.edu.cn/coremail/xphone/index.jsp
网上办事,https://one.zju.edu.cn/taskcenter/wechat/index
无影云电脑,
人力资源系统,https://service.zju.edu.cn/_web/customized/portalMobile/app/index.html
最新通知,http://mapp.zju.edu.cn/lightapp/zxtz/www/page/index.html
公示公告,http://mapp.zju.edu.cn/lightapp/gsgg/www/page/index.html
学校文件,http://mapp.zju.edu.cn/lightapp/dd/xxwj/page/index.html
办公电话,https://tel.zju.edu.cn/_web/_customizes/zju/offic_phone/app/home.html?bmglm=undefined&bmmc=%E5%B8%B8%E8%AE%BE%E6%9C%BA%E6%9E%84&type=item&sort=641
百事通,https://s1.zju.edu.cn/mobile/index.do
浙大云盘,https://pan.zju.edu.cn/h5/
网络安全管理,
密码修改,http://mids.zju.edu.cn/_web/_customize/zdPassword/www/app/index.jsp
教代会提案,
差旅平台,https://trip.zju.edu.cn/WeixinFrontEnd/weixinauthpage.jsp
因公出国（境）查询,http://10.202.66.93/api/ding/index
平安浙大,https://zju.aliwork.com/APP_T22QI6K9U4FWNP5UDUA2/custom/FORM-CAB0EF109A0E4F9CA6C1FCF35F7B9BEC9BR0?corpid=ding2c6bcab1e41b0242
财务门户,https://zju.aliwork.com/APP_ADM4NGJ2GM352I2RU4DM/workbench/FORM-8A84CBC611F048DA96B75E394DE99311F1W2?corpid=ding2c6bcab1e41b0242&ddtab=true
学在浙大,https://mcourses.zju.edu.cn/
浙大党校,
培养方案,http://appservice.zju.edu.cn/zdjw/pyfa
课表,http://appservice.zju.edu.cn/zdjw/grkb
教师课表查询,http://appservice.zju.edu.cn/zdjw/jskb
开课情况查询,http://appservice.zju.edu.cn/zdjw/kkqkcx
教在浙大,https://alth5.zju.edu.cn/teachingEvaluation
个人荣誉申请,http://eta.zju.edu.cn/service/zfw?id=838FE8992E2A2A0BE0538713470A1748
政府奖学金申请,http://eta.zju.edu.cn/service/zfw?id=838F6F975FB915FBE0538713470A5B7F
外设奖学金申请,http://eta.zju.edu.cn/service/zfw?id=8391727491744697E0538713470A30BA
校设奖学金申请,http://eta.zju.edu.cn/service/zfw?id=838F6F975FB015FBE0538713470A5B7F
智云课堂,https://classroom.zju.edu.cn/
教学质量评价,https://yjsy.zju.edu.cn/grs-app/business/system/Jxzlpj
专业节,https://bkxszyj.zju.edu.cn/
本科生招生公告,https://zdzsc.zju.edu.cn/_t2215/3299/list.htm
研究生系统,https://yjsy.zju.edu.cn/grs-app/
ETA育人平台,http://eta.zju.edu.cn/mobile
勤工助学岗位申请,http://eta.zju.edu.cn/qgzx/xsgwsq
学生信息,http://eta.zju.edu.cn/student-center
本科生毕业离校,https://one.zju.edu.cn/leave/
师生交流预约,https://comm.zju.edu.cn/h5/
就业服务,https://www.career.zju.edu.cn/
慧学外语,https://english2.zju.edu.cn/foreignLanguage
研究生毕业离校,https://yjsy.zju.edu.cn/grs-app/business/system/Byyjs
研在浙大,https://research.zju.edu.cn/
浙大云,https://cloud.zju.edu.cn/
科研数据平台,https://db.zju.edu.cn/
科研软件平台,https://soft.zju.edu.cn/
找教授,http://zjs.zju.edu.cn:8080/
浙大语雀,https://yuque.zju.edu.cn/
科研查询,http://my.zju.edu.cn/_web/DTalkPortal/ding/mobile/appList.jsp?_p=YXM9MSZwPTEmbT1OJg__&type=KYCX
个人数字档案,https://idata.zju.edu.cn/ykyb/index?mobile=1
紧急电话,http://mapp.zju.edu.cn/lightapp/jjdh/www/app/home.html
校园地图,https://map.zju.edu.cn/mobile/index.html
校园卡账单,http://mapp.zju.edu.cn/lightapp/xyk_wechat/app/index.html
网络缴费,https://myvpn.zju.edu.cn/
后勤服务,http://my.zju.edu.cn/_web/DTalkPortal/ding/mobile/appList.jsp?_p=YXM9MSZwPTEmbT1OJg__&type=HQFW
班车查询,http://www.life.zju.edu.cn/_web/_apps/lightapp/busQuery/mobile/app/pub/index.html
失物招领,http://zhhqgl.zju.edu.cn/_web/_plugs/app/lostandfind_wechat/www/app/index.html
网上保修,http://zhhqgl.zju.edu.cn/_web/_plugs/app/repairservice_wechat/www/app/sqbx.html
服务指南,http://mapp.zju.edu.cn/lightapp/serviceinfo/app/serviceguide.html
求是印,http://www.next.zju.edu.cn/seal/
浙大文创,
图书馆,http://m.lib.zju.edu.cn/
班车预约,http://car.zju.edu.cn/
抖课,https://tikmooc.cmc.zju.edu.cn/
心晴航标（Beacon of Mind）,https://mindtrip.zju.edu.cn/dingding.html
我的文艺生活,https://zju.aliwork.com/APP_L1MYD2MSVN9PWXFZI73C/workbench/FORM-14167809310C494DA372FD3D9AA321A45QAC?corpid=ding2c6bcab1e41b0242&ddtab=true
共享电动车,https://mzddc.zju.edu.cn/gxcx.html
日志,
钉邮,
钉盘,
填表助手,https://form.zju.edu.cn/mobile/
Teambition,
选课学分,http://appservice.zju.edu.cn/zdjw/xkxf
成绩查询,http://appservice.zju.edu.cn/zdjw/cjcx
个人考试查询,http://appservice.zju.edu.cn/zdjw/grkscx
补考资格确认,http://appservice.zju.edu.cn/zdjw/bkzgcxyqr
放弃修读申请,http://appservice.zju.edu.cn/zdjw/fqxdkcsq/fqxdlb